Name,Team,Position
Leody Taveras,TEX/SEA,OF
Dylan Beavers,BAL,OF
Luke Raley,SEA,1B/OF
Ezequiel Duran,TEX,1B/SS
Denzel Clarke,ATH,OF
José Tena,WSN,3B
Santiago Espinal,CIN,3B
Weston Wilson,PHI,OF
Warming Bernabel,COL,1B
Zach Cole,HOU,OF
Dylan Carlson,BAL,OF
Paul Blackburn,NYM/NYY,RP
Darell Hernaiz,ATH,3B/SS
Nick Loftin,KCR,OF
Jake Irvin,WSN,SP
Victor Robles,SEA,OF
David Fry,CLE,DH
DJ LeMahieu,NYY,2B
Zach Dezenzo,HOU,OF
Cody Freeman,TEX,2B
Donovan Solano,SEA/TEX,1B
Marcelo Mayer,BOS,3B
Jackson Rutledge,WSN,RP
Jake Woodford,ARI,RP
Graham Pauley,MIA,3B
Christian Encarnacion-Strand,CIN,1B
Caleb Boushley,TEX,RP
Richie Palacios,TBR,1B/2B/OF/DH
Max Schuemann,ATH,2B/3B/SS
Oswald Peraza,NYY/LAA,3B
Jorge Mateo,BAL,2B/3B/SS/OF/DH
Alex Verdugo,ATL,OF
Justyn-Henry Malloy,DET,OF/DH
Alejandro Osuna,TEX,OF
Nacho Alvarez Jr.,ATL,3B
Sal Stewart,CIN,1B/3B
Jonny DeLuca,TBR,OF/DH
Adrian Del Castillo,ARI,DH
Heston Kjerstad,BAL,OF
Justin Turner,CHC,1B
Chase Dollander,COL,SP
Oswaldo Cabrera,NYY,3B
Taylor Trammell,HOU,OF
Génesis Cabrera,NYM/CHC/PIT/MIN,RP
Shinnosuke Ogasawara,WSN,RP
Austin Gomber,COL,SP
Nick Sogard,BOS,1B/2B/3B/SS/OF
Griffin Conine,MIA,OF
Carlos Hernández,PHI/DET/CLE,RP
Yanquiel Fernández,COL,OF/DH
Jon Berti,CHC,3B
Vidal Bruján,CHC/BAL/ATL,2B/3B/SS/OF/DH
Joey Wiemer,MIA,OF
Matthew Lugo,LAA,OF
José Fermín,STL,2B/3B/OF/DH
Ryan Fitzgerald,MIN,1B/2B/3B/SS
Liover Peguero,PIT,1B/2B/SS
Matt Mervis,MIA,1B
Blaine Crim,TEX/COL,1B/DH
Kyle Karros,COL,3B
Gio Urshela,ATH,3B
Gustavo Campero,LAA,OF
Drew Gilbert,SFG,OF
Chris Taylor,LAD/LAA,OF
Carson Williams,TBR,SS
Bryce Teodosio,LAA,OF
Jonatan Clase,TOR,OF
Erick Fedde,STL/ATL/MIL,SP
Matt Vierling,DET,OF
Jhonkensy Noel,CLE,OF
Edouard Julien,MIN,1B/2B
Tristan Gray,TBR,1B/2B/3B/SS
Brice Matthews,HOU,2B/3B
Brett Harris,ATH,3B
Anthony Santander,TOR,OF/DH
Kevin Newman,LAA,3B
DaShawn Keirsey Jr.,MIN,OF
Emmanuel Rivera,BAL,3B
Nick Yorke,PIT,1B/2B/3B/OF
Alan Roden,TOR/MIN,OF
George Soriano,MIA,RP
Jac Caglianone,KCR,OF
Zack Short,HOU,SS
Chas McCormick,HOU,OF
James Outman,LAD/MIN,OF
Jesse Winker,NYM,DH
Will Wagner,TOR/SDP,3B
Lane Thomas,CLE,OF
Johnathan Rodríguez,CLE,OF
Jacob Melton,HOU,OF
Jack Suwinski,PIT,OF
Ronny Simon,MIA/PIT,2B/SS/OF/DH
Tyler Wade,SDP,OF
Brendan Rodgers,HOU,2B
Jared Young,NYM,1B/OF/DH
Joshua Palacios,CHW,OF
George Valera,CLE,OF/DH
Daniel Johnson,SFG/BAL,OF
Nathan Church,STL,OF
Maximo Acosta,MIA,2B/3B/SS
Sam Hilliard,COL,OF/DH
Jason Heyward,SDP,OF
Travis Jankowski,CHW/TBR/NYM,OF
Brett Wisely,SFG/ATL,2B
Alex Freeland,LAD,2B/3B
Jerar Encarnacion,SFG,1B/OF
Zack Gelof,ATH,2B
Enmanuel Valdez,PIT,1B
Victor Mesa Jr.,MIA,OF
Cooper Hummel,BAL/HOU,OF
Garrett Mitchell,MIL,OF
Esteury Ruiz,LAD,OF
Luke Williams,ATL,SS
Josh Rojas,CHW,2B/3B
Garrett Hampson,ARI/CIN/STL,OF
Orlando Arcia,ATL/COL,2B/3B/SS
Tyler Locklear,ARI,1B
Blake Dunn,CIN,OF
LaMonte Wade Jr.,SFG/LAA,1B/OF
Daz Cameron,MIL,OF
Everson Pereira,TBR,OF
Nick Martini,COL,OF/DH
Stuart Fairchild,ATL,OF
Kevin Pillar,TEX,OF/DH
Dominic Fletcher,CHW,OF
José Azocar,NYM/ATL,OF/DH
Mark Canha,KCR,OF
Dairon Blanco,KCR,OF
Jordan Lawlar,ARI,2B/3B/SS/DH
Sean Bouchard,COL,1B/OF/DH
Owen Caissie,CHC,OF/DH
Cavan Biggio,KCR,1B/2B/3B/OF/DH
Bob Seymour,TBR,1B
Kevin Alcántara,CHC,OF/DH
Dustin Harris,TEX,OF/DH
Jorge Alcala,MIN/BOS/STL,RP
Ryan Rolison,COL,RP
Ryan Bliss,SEA,2B
Anthony Seigler,MIL,3B
Brewer Hicklen,DET,OF
Petey Halpin,CLE,OF
Manuel Margot,DET,OF
Tim Elko,CHW,1B
Matt Gorski,PIT,1B/OF
Triston Casas,BOS,1B
Pablo Reyes,NYY,2B/3B/OF/DH
Nick Maton,CHW,1B/2B/OF/DH
Oliver Dunn,MIL,1B/3B
Denzer Guzman,LAA,SS
Luis Vázquez,BAL,1B/2B/3B/SS/DH
Seth Brown,ATH,OF
Jorbit Vivas,NYY,2B/3B
Ji Hwan Bae,PIT,OF/DH
Will Wilson,CLE,2B/3B/DH
Mason McCoy,SDP,2B/SS/DH
Tim Anderson,LAA,2B/SS
Michael Siani,STL,OF
Jarred Kelenic,ATL,OF
Billy McKinney,TEX,OF/DH
Adael Amador,COL,2B
Corey Julks,CHW,OF
Logan Davidson,ATH/LAA,1B/2B/3B/DH
Jorge Barrosa,ARI,OF
Rece Hinds,CIN,OF
Rhylan Thomas,SEA,OF
Jack Winkler,MIA,1B/2B/3B/SS
Oscar Gonzalez,SDP,OF/DH
Tyler Black,MIL,1B/OF
Billy Cook,PIT,1B/OF
Jose Miranda,MIN,3B
David Villar,SFG,1B/3B/DH
José Barrero,STL,2B/3B/SS/OF
Trey Lipscomb,WSN,1B/3B/SS
Trenton Brooks,SDP,OF/DH
Justin Dean,LAD,OF
Greg Jones,CHW,OF
Cal Stevenson,PHI,OF
Jose Siri,NYM,OF
Donovan Walton,PHI,2B
Tyler Callihan,CIN,2B/OF
Connor Joe,SDP/CIN,OF
Coco Montes,TBR,2B/3B/OF
Bobby Dalbec,CHW,1B/3B/SS
Owen Miller,COL,2B/3B/DH
Gage Workman,CHC/CHW,3B/SS/DH
Luken Baker,STL,1B/DH
Shay Whitcomb,HOU,2B/3B/OF/DH
Drew Avans,ATH/MIL,OF
Jacob Amaya,CHW,SS
Bryan Ramos,CHW,3B
Steward Berroa,MIL,OF
César Prieto,STL,2B/DH
Keston Hiura,COL,1B
Jacob Hurtubise,CIN,OF
Vimael Machín,BAL,3B
Eddie Rosario,LAD/ATL,OF/DH
Samad Taylor,SEA,OF
Kenedy Corona,HOU,OF
Chad Stevens,LAA,2B/3B
Jonathan Ornelas,TEX/ATL,2B/3B/SS
Connor Kaiser,ARI,2B
Jordyn Adams,BAL,OF
Grant McCray,SFG,OF
Luis Guillorme,HOU,2B/3B
Andrés Chaparro,WSN,1B
Jhostynxon Garcia,BOS,OF/DH
Akil Baddoo,DET,OF
Ryan Kreidler,DET,OF
Zac Veen,COL,OF
Scott Kingery,LAA,2B/SS/OF
Vinny Capra,MIL/CHW,3B
Carter Kieboom,LAA,1B
Nick Ahmed,TEX,SS
Nick Solak,PIT,1B/2B/OF
Jace Jung,DET,3B
Bryan De La Cruz,ATL,OF/DH
Ryan Vilade,STL/CIN,OF/DH
Will Brennan,CLE,OF
Sergio Alcántara,SFG,3B/SS
Alan Trejo,COL,SS
Carson McCusker,MIN,OF/DH
Michael Stefanic,TOR,2B/SS
Tirso Ornelas,SDP,OF/DH
Justin Foscue,TEX,1B/DH
Ryan Noda,CHW/BAL,1B/OF/DH
J.D. Davis,LAA,1B/3B
David Bañuelos,BAL,DH
CJ Alexander,ATH,1B/3B/OF
Trevor Rogers,BAL,SP
Hunter Renfroe,KCR,OF
Aaron Schunk,COL,2B/3B/SS/DH
Tsung-Che Cheng,PIT,2B/SS
Bradley Blalock,COL,SP
Will Robertson,TOR/CHW,OF
Jeimer Candelario,CIN,1B/3B/DH
Greg Allen,BAL,OF
Tristan Peters,TBR,OF
Jon Singleton,HOU,1B/DH
Bryce Eldridge,SFG,1B/DH
Leo Jiménez,TOR,2B/SS
Buddy Kennedy,PHI/TOR/LAD,1B/2B/3B
Jonah Bride,MIA/MIN,3B
Cam Devanney,PIT,3B
Nicky Lopez,LAA/CHC,2B/3B/SS/OF
Kris Bryant,COL,DH
Yuli Gurriel,SDP,1B/DH
Tristin English,ARI,1B
Niko Kavadas,LAA,1B
Angel Chivilli,COL,RP
MJ Melendez,KCR,OF
Luis Campusano,SDP,DH
Jack Kochanowicz,LAA,SP
Germán Márquez,COL,SP
Antonio Senzatela,COL,SP
